,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
等也,50,44,21.03182812331373,451.0,439.0,37.894755555754905,-10.366203326121184,15.865999314970113,15.443844122554056,73.43565190162848,52.801234720189164
期在,72,68,20.296093852026672,775.0,749.0,36.691219340479456,-10.465124825305386,27.26418951020363,26.349519926635512,73.40371293377311,65.83658811135079
燈號,44,20,24.256613006543287,371.0,202.0,42.22282417523301,-10.378428970811488,13.051631365529737,7.106279072336946,73.38557873038638,23.394527243887772
一路,144,124,19.375697571581586,2034.0,1641.0,34.5582619575107,-10.648673072449327,71.55530511452153,57.72972256289569,73.34513924090567,76.07432491652855
解決方案,112,75,21.435252240214208,1447.0,958.0,37.64769302898272,-10.613253211398824,50.90488028550278,33.70205619454849,73.32526138936349,50.60581920322443
的億元,57,43,21.70878966620882,550.0,424.0,39.20637402220685,-10.354426886502669,19.348779652402577,14.916150132033987,73.26634646373195,52.87574987011116
交易金,34,29,21.267547227179925,248.0,198.0,39.89420032122611,-9.986864747672335,8.724540643265161,6.9655606748649275,73.22435321418428,69.70243158243306
去年下半年,34,31,20.965678022316748,248.0,229.0,38.94678971972906,-10.065628346033368,8.724540643265161,8.056128255273073,73.22435321418428,65.3441993421485
脫歐公投,70,51,21.697635778197284,745.0,540.0,38.99281013889044,-10.425637053798267,26.208801529163487,18.996983658722527,73.16889562379775,53.91345664867229
收點,94,70,21.1609641054812,1136.0,601.0,40.29355780033949,-10.215993239450123,39.96402488205332,21.142939220170817,73.06287631350635,112.89879629255434
在股,43,41,20.722273535349323,359.0,324.0,38.76989318807718,-10.133064996052296,12.629476173113682,11.398190195233518,73.03301458243047,76.87774363372226
要動,37,37,20.54152695267988,284.0,274.0,38.56441207526,-10.06810374070812,9.99100622051333,9.639210226833283,73.01424189713588,77.66329392085082
將減,36,23,22.598578707950832,272.0,229.0,39.49913233604679,-10.364121334589363,9.568851028097274,8.056128255273073,73.00830934911413,27.72042545085798
續增,72,67,20.37426811323944,777.0,704.0,37.177912047260854,-10.41797928373135,27.33454870893964,24.766437955075297,72.98465250979723,72.01979413583707
等均,33,31,20.827401892961944,237.0,227.0,38.73224767279549,-10.05685635996053,8.33756505021711,7.985769056537063,72.95123863968344,66.32483636444223
逐漸,201,177,18.214936368280643,3156.0,2718.0,31.749805903135996,-10.797395409101533,111.02681560542278,95.61815108223674,72.9118804854312,69.26514744650842
展望今年,41,40,20.63137136363045,334.0,302.0,38.84227146873863,-10.087441110225207,11.749986188913565,10.624239009137415,72.81398413523196,81.22326060719391
收盤價元,32,31,20.68487045201481,226.0,212.0,38.886587879144415,-9.98849261715114,7.950589457169059,7.458075066016994,72.74607129111756,74.31169902306638
為全球,97,85,20.19852857448291,1190.0,1078.0,35.80455294693933,-10.6061050419429,41.86372324792558,37.92360811870905,72.61678556581755,58.43818092476158
力台,37,34,20.931414127784887,285.0,272.0,38.6335353330316,-10.14533508864411,10.026185819881334,9.568851028097274,72.56863821342803,62.37750366628823
營收年,55,47,21.109644572180667,524.0,448.0,38.54682434045017,-10.3205391776692,18.434110068834457,15.760460516866097,72.53207784185987,61.921339549305095
本週,91,57,22.16931861715995,1089.0,830.0,37.50128284748507,-10.744267979920368,38.310583711757104,29.19906747544389,72.46495145266549,26.469744278132023
季度,48,38,21.571175421324078,427.0,296.0,40.38472600117103,-10.118666841561948,15.021688930138,10.413161412929387,72.39991495487529,73.08382469555875
業面,39,36,20.903830307824066,310.0,275.0,39.047944307741744,-10.099145706174735,10.905675804081453,9.674389826201288,72.37433664862675,71.63632678371613
現上,38,37,20.660333343640932,298.0,280.0,38.69843726282049,-10.0897652374893,10.483520611665396,9.850287823041311,72.22350830179388,74.83099829504418
等大,82,76,20.194962581061162,941.0,907.0,36.11979334264832,-10.54530265679308,33.104003005292405,31.90789662678025,72.22143260814195,60.928916832549994
為產,37,32,21.210949282465567,286.0,262.0,38.903193670558316,-10.168502147925643,10.06136541924934,9.217055034417228,72.12639665058082,56.315447761410965
董事長林,68,55,21.183687079981468,719.0,610.0,37.88721164327799,-10.472019318899159,25.294131945595367,21.45955561448286,72.10333093078557,52.42240006213092
財務長,46,45,20.56629939997874,401.0,327.0,39.32859989040777,-10.049191228091207,14.10701934656988,11.503728993337532,72.10326929957681,97.53360601606586
證券交易所,67,64,20.334788523806147,704.0,532.0,38.815686630594904,-10.183653952946246,24.766437955075297,18.715546863778492,72.01979413583707,109.57102727334512
是蘋果,34,31,20.965678022316748,251.0,226.0,39.10473908212225,-10.052441341751413,8.830079441369175,7.950589457169059,71.7462289138311,66.82213051422424
