,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
完全,423,361,23.41392159014447,4112.0,3338.0,30.762010009171963,-11.435489113107918,454.73839592517703,369.1431822952921,-2.2151764287549627,-0.17963603575729456
政權,126,91,27.43274543858432,1301.0,903.0,37.64704118653517,-11.506103014119153,143.875158827494,99.86108256819915,-2.220823286744324,-0.7862801229580025
違反,284,208,25.756144056421636,2806.0,1956.0,34.278800334653965,-11.452358738112464,310.31029644115927,216.31038483211242,-2.2307725742930296,-0.3192749904791046
研議,115,88,27.195952314740772,1196.0,864.0,37.61634866571666,-11.495475921544868,132.2634050404941,95.54814544731347,-2.2532699313231253,-0.5962910052002591
避免,427,352,23.623352203254115,4153.0,3418.0,30.57374425504712,-11.484419655296458,459.2725093086722,377.990232799673,-2.2677491815177304,-1.7870625808979412
信金,167,50,32.42057658289048,1697.0,566.0,42.812360080374745,-11.637811039994055,187.66805882417935,62.59288231849471,-2.2761926469327407,-2.533525845327622
在網,129,111,26.37917472709607,1333.0,1126.0,35.95028441124548,-11.52813657460632,147.41397902924638,124.52223584916084,-2.3001524409177927,-1.4684193639265009
出席,819,594,21.77040935680266,7809.0,5536.0,27.83825599457261,-11.443388145153879,863.5827173588784,612.2158949031567,-2.301596184301181,-0.5419964262367596
車輛,203,117,28.087870277033637,2042.0,1170.0,37.490737200854866,-11.513825060213065,225.82096412432188,129.38811362657032,-2.306235851853287,-1.1860854519274984
脫離,102,91,26.43951230354229,1072.0,850.0,37.23751952892368,-11.44561681018653,118.55047675870375,93.99991160904682,-2.31056245769406,-0.09573912898475259
網路,1023,579,22.601414344927107,9701.0,5208.0,29.06620957681157,-11.407888673534428,1072.8154617874861,575.9429878351951,-2.3131473412638663,0.01622612580264462
言論,131,97,27.240522703446647,1353.0,936.0,37.5329290814418,-11.478144465193228,149.62574165534159,103.51049090125626,-2.318573317488661,-0.40948981505435156
在點,188,132,26.99405265505666,1902.0,1188.0,37.051348854399144,-11.408464544555239,210.33862574165536,131.37869999005602,-2.3724325395120385,0.002938175688948104
