,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
類似,1076,952,31.79563759258947,1968.0,1762.0,33.81522943985407,-11.458118441635818,1112.171036494415,995.7547593003857,-1.1763872984898276,-1.9226410354089531
的多,667,638,32.89328485237613,1231.0,1177.0,35.2415775110061,-11.454864493846546,695.6720253682035,665.1551371717104,-1.1817135212240233,-1.1086157703748554
仍不,549,527,33.436582908400695,1018.0,977.0,35.89260986172645,-11.459764773432479,575.2998552598142,552.1296253328471,-1.2022989061500842,-1.1437496565930116
自動化,607,334,37.27481003725878,1123.0,631.0,39.84499693544164,-11.478643539495572,634.6382489752174,356.59548985161365,-1.2036349962353652,-1.431751595755818
的聲,703,601,33.57512760662837,1297.0,1123.0,35.85197374071207,-11.467642690134294,732.9704442750284,634.6382489752174,-1.2254621411522368,-1.7829555592431674
在中,1919,1651,29.387897053696083,3483.0,2934.0,31.395275411907267,-11.417464184713857,1968.339288673804,1658.0842586761246,-1.2367610710433747,-0.03026789545081229
價的,603,513,34.065124231419624,1117.0,970.0,36.370559696319056,-11.479498896257718,631.2474836200515,548.173732418487,-1.2640372461989065,-2.2569331200693643
年來,4689,3840,24.47612421562552,8435.0,6945.0,25.777120665398268,-11.43502827953773,4766.85096180406,3924.8108986045277,-1.271441524474141,-1.8326713586799595
一周,544,423,34.999238910237516,1011.0,795.0,37.49375772241853,-11.473448605539113,571.3439623454539,449.2764095594815,-1.3086552515234573,-1.5368038130793522
示在,1081,1054,31.001307182641106,1981.0,1918.0,33.112329097645,-11.441169196273135,1119.5176947639409,1083.914658534699,-1.3252249757793693,-0.8256063226023677
今天宣,730,690,32.694032994810534,1348.0,1293.0,34.864482868223206,-11.470507451111612,761.7919497939386,730.7099340382512,-1.326777044537826,-2.268066509291503
的全,1047,959,31.628521967873898,1920.0,1756.0,33.74716450125532,-11.447381369242683,1085.0449136530876,992.3639939452196,-1.3339682409991591,-1.1217215646359877
新台幣元,952,836,32.32895821510725,1749.0,1534.0,34.52378543850595,-11.449484038773559,988.4081010308595,866.9056758040815,-1.341095666143155,-1.101804756349125
多精,840,830,31.869758827912456,1547.0,1536.0,34.0124899182721,-11.457989882848032,874.2523340736076,868.0359309224701,-1.3419722702064183,-1.666672990830533
的財,723,583,33.930383299211286,1336.0,1114.0,36.04797649150215,-11.490003904067796,755.0104190836068,629.5521009424685,-1.3571560126969242,-3.4422855533537806
東南風,581,243,39.39712456824911,1080.0,402.0,43.25105551592521,-11.345869315209532,610.3377639298617,227.1812787961152,-1.4102099579458491,1.1014637379112828
分別為,838,722,32.937643364719385,1545.0,1347.0,35.102638038826704,-11.466088707448597,873.122078955219,761.2268222347442,-1.412815527025405,-2.0213995851051467
另有,603,579,33.1692951197796,1120.0,1069.0,35.603213977332445,-11.455655103383108,632.9428662976344,604.1213607787244,-1.4165184408546683,-1.0446291231307432
檢查,1324,804,34.00549057825427,2421.0,1523.0,35.91281751187813,-11.481316753647254,1368.17382080944,860.6892726529439,-1.426227000711117,-3.733837211673566
出中,647,597,33.2561371554483,1200.0,1098.0,35.69290813288364,-11.451807178607933,678.1530710331798,620.5100599953595,-1.4311132342433381,-0.8907557775768148
暫時,780,663,33.2850217710192,1441.0,1239.0,35.50085455378288,-11.467763561374339,814.34881279901,700.1930458417581,-1.4488152032127206,-1.9756303882226067
國會議,633,404,36.06820259378493,1175.0,785.0,38.307678687728426,-11.506747509752318,664.0248820533218,443.62513396753843,-1.4495590939997869,-3.5393649316097164
少年,758,420,36.64425057543211,1402.0,748.0,39.544343510761145,-11.419626936628122,792.3088379904317,422.71541427734877,-1.4856534571029292,-0.017443117635619787
位於,1665,1412,30.21672517203616,3036.0,2595.0,32.031551081519105,-11.451058047477861,1715.7272697139447,1466.506016109251,-1.4998047405636423,-2.0258394847802723
國共,550,394,35.570996261637546,1026.0,856.0,36.97698736410961,-11.618398136774868,579.8208757333687,483.7491906703349,-1.5337230284788068,-16.651019539316163
訪問,2231,1654,29.889302508959336,4054.0,2896.0,32.03717523274537,-11.40261254785303,2291.027124973759,1636.6094114267405,-1.5727686910981193,0.18479214943578579
但在,1012,968,31.41933868901103,1863.0,1796.0,33.43622839732563,-11.460563831516627,1052.8326427790116,1014.9690963129924,-1.5836369889875606,-2.1735597827294333
東海,822,368,38.0527788898228,1520.0,814.0,39.22782888775917,-11.636356097764669,858.993889975361,460.0138331841736,-1.5931986379418446,-18.4049802125303
為第,534,482,33.95965797131813,998.0,909.0,36.3730851953411,-11.476879650057937,563.9973040759279,513.7009513076337,-1.5954655196411014,-1.9562944379426275
盤價,870,757,32.7295585129228,1607.0,1282.0,35.68275235377241,-11.369292053974226,908.1599876252666,724.4935308871137,-1.6034450706953665,1.45849547185491
家族,650,365,36.955543903673146,1209.0,675.0,39.665598368314456,-11.457294007221098,683.2392190659286,381.46110245616364,-1.617070058746412,-0.7103421353516787
為年,825,721,32.88172592540216,1526.0,1347.0,35.05057394327954,-11.467474709056473,862.384655330527,761.2268222347442,-1.620636969296073,-2.1257753666051142
一家,1470,1166,31.35709655472214,2689.0,2177.0,33.16310349995686,-11.466847364255168,1519.628006673517,1230.282696366027,-1.6207512862164464,-3.358793116649197
這兩,867,793,32.354241958835075,1602.0,1440.0,34.69566347944957,-11.439053840866258,905.334349829295,813.7836852398157,-1.6231819516312989,-0.5308063801014098
官網,638,528,34.109832935555154,1188.0,991.0,36.477020591750566,-11.472096920554785,671.371540322848,560.0414111615676,-1.6587830085617477,-1.8331716347462126
試驗,989,388,38.54750277740893,1824.0,748.0,40.80626705546601,-11.498876308282263,1030.792667970433,422.71541427734877,-1.6944504461075203,-2.8509960785513977
濟的,522,439,34.531831836300896,978.0,838.0,36.92125245008555,-11.48899735733797,552.6947528920415,473.5768946048372,-1.7046802962638663,-2.524535411533586
的技術,528,442,34.53670337904605,989.0,822.0,37.1258510212742,-11.46290918290954,558.911156043179,464.53485365772815,-1.709573261500511,-1.0931787472493681
為這,1388,1297,30.263178352821626,2544.0,2372.0,32.198009211088625,-11.446158245732232,1437.684510590341,1340.4825704089187,-1.7170321961583026,-1.4104875147983453
的名,894,773,32.6811547987888,1653.0,1446.0,34.79046107978939,-11.468756024062348,934.155855348205,817.1744505949815,-1.7261495600698364,-2.3879626730224737
今天宣布,656,621,33.02256010751278,1222.0,1175.0,35.223502144506554,-11.48017101457584,690.5858773354547,664.0248820533218,-1.732127676399136,-2.7877576966364392
件的,629,586,33.269005312403905,1173.0,1073.0,35.778311280889326,-11.447372622984744,662.8946269349332,606.3818710155016,-1.7330744410620529,-0.6850809464287627
電動,891,319,39.563973480518634,1648.0,624.0,41.8434901736585,-11.513437935515642,931.3302175522335,352.63959693725343,-1.7464551425007988,-3.209005715549931
母親,1139,564,36.230253612710044,2096.0,1060.0,38.45807338186717,-11.473448605539113,1184.5073640712874,599.0352127459754,-1.7483388010343035,-2.0490717507724736
布局,2164,1459,30.873499439167514,3940.0,2704.0,32.57551457745679,-11.459459558571128,2226.602583225607,1528.1049200614318,-1.760118063296946,-3.125106080088336
於年,2503,2017,28.53300761939961,4550.0,3755.0,29.98680566744384,-11.463955696175082,2571.33039433414,2122.0539847746586,-1.815808190245469,-5.200781787936537
如今,1377,1205,30.83928514686795,2527.0,2199.0,32.8426576231976,-11.444001814561064,1428.0773420840376,1242.715502668302,-1.826858250241934,-1.144637802029871
言論,727,488,35.304924972569616,1353.0,936.0,37.5329290814418,-11.493778740555504,764.6175875899102,528.9593954058802,-1.850706704962061,-3.171646229533232
難以,939,836,32.27239460509009,1737.0,1552.0,34.39702171773668,-11.46114975758952,981.6265703205278,877.0779718695791,-1.8510343466941728,-1.9238879860602003
大陸的,1077,871,32.50911643487868,1987.0,1591.0,34.73044847830082,-11.444954721416343,1122.9084601191068,899.1179466781574,-1.876899841224878,-0.8793272654791177
發行,1799,904,34.28278532958478,3288.0,1635.0,36.51754989704313,-11.435047392870237,1858.1394146309126,923.9835592827075,-1.8822432457694307,-0.43219669613547557
配置,528,371,35.80957897880524,992.0,723.0,38.15387136654496,-11.509685829482388,560.6065387207619,408.58722529749076,-1.8964929837861209,-3.4577671990005943
股市今,626,616,32.87621303496586,1171.0,1128.0,35.36756169716494,-11.447433138455544,661.7643718165446,637.463886771189,-1.932848527219652,-0.7227051522242298
期貨,1997,596,38.286581418527945,3646.0,1444.0,38.075428525707274,-11.72741032231848,2060.4550808224776,816.0441954765929,-1.9542028941392295,-59.334345163331136
郭台,1025,301,40.73604227813549,1895.0,630.0,42.456774745241674,-11.581088224567761,1070.9167246732297,356.03036229241934,-1.9687297398035377,-8.505849766677072
將有,1427,1264,30.57797276322464,2621.0,2317.0,32.514721301474054,-11.448470619656632,1481.1993326483034,1309.4005546532312,-1.983235878367052,-1.5741633494014404
更多精,808,806,31.935471336438443,1503.0,1501.0,34.08653851678588,-11.464281759057892,849.3867214690576,848.256466350669,-2.016585226332332,-2.105034290074075
在今,1502,1401,29.911912480369946,2757.0,2570.0,31.775531199406146,-11.449198301483317,1558.0566806987304,1452.3778271293934,-2.016840266395303,-1.817489272578009
引起,1478,1312,30.398620954946807,2714.0,2409.0,32.295723508758925,-11.450137703041896,1533.7561956533748,1361.3922900991083,-2.026888864441126,-1.7919877606012247
點的,591,535,33.66264541622642,1109.0,1009.0,36.022162964431075,-11.476926943388662,626.7264631464969,570.2137072270652,-2.036582534826922,-2.174632354426519
年初,1059,890,32.26858915608358,1958.0,1678.0,34.214254165597616,-11.476615094232026,1106.5197609024715,948.284044328063,-2.040747717317169,-3.5822914490169353
